               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10566,            0.015718,              0.0995,           0.0063857,             0.04875,           0.0088929,           0.0014833,            0.095181,            0.011483,            0.098201,              0.0874,              0.0014,              0.0014
                   1,            0.079497,            0.017801,            0.094259,           0.0069736,             0.22208,            0.020855,           0.0085061,            0.078406,            0.011993,             0.09422,            0.073894,           0.0028943,           0.0028943
                   2,            0.069731,             0.01738,            0.092823,           0.0055972,             0.82872,            0.041491,            0.012211,            0.065089,            0.009446,            0.092857,            0.060383,           0.0043826,           0.0043826
                   3,            0.067714,            0.013854,             0.09141,             0.93636,            0.031429,            0.065472,             0.02476,            0.061758,           0.0087277,             0.09024,            0.046865,            0.005865,            0.005865
                   4,             0.06556,            0.012014,            0.089916,             0.63843,             0.10577,            0.057909,            0.023222,            0.060062,           0.0084106,              0.0892,            0.033341,           0.0073414,           0.0073414
                   5,            0.063858,             0.01062,            0.088518,              0.6263,             0.16549,            0.074988,            0.020211,            0.058854,           0.0095896,            0.087653,            0.019812,           0.0088119,           0.0088119
                   6,            0.060737,            0.010239,            0.087544,             0.40109,             0.22273,            0.098021,            0.040343,            0.056122,            0.010521,            0.085929,           0.0098812,           0.0098812,           0.0098812
                   7,            0.058251,            0.010243,            0.085923,             0.98651,            0.029286,             0.09959,            0.032144,            0.060335,            0.008496,            0.085483,           0.0098812,           0.0098812,           0.0098812
                   8,            0.057458,            0.010256,            0.085391,             0.70031,              0.1264,             0.10567,            0.037499,            0.054332,           0.0075605,             0.08365,           0.0098614,           0.0098614,           0.0098614
                   9,            0.057124,           0.0093647,            0.084186,             0.60094,             0.14119,             0.11257,            0.044899,            0.052836,            0.006903,             0.08293,           0.0098416,           0.0098416,           0.0098416
                  10,            0.056115,           0.0098273,            0.083492,             0.67833,             0.12117,             0.11572,            0.047135,            0.054588,           0.0065679,            0.081381,           0.0098218,           0.0098218,           0.0098218
                  11,            0.056242,           0.0095304,            0.082711,             0.63254,             0.11909,             0.11367,            0.046776,            0.052213,           0.0065709,            0.081177,            0.009802,            0.009802,            0.009802
                  12,            0.055783,           0.0094856,            0.082277,             0.68007,             0.10334,             0.16535,             0.06523,            0.052129,           0.0061924,            0.081221,           0.0097822,           0.0097822,           0.0097822
                  13,            0.054993,           0.0095728,             0.08186,             0.67666,             0.11071,             0.14284,            0.056163,             0.05376,           0.0062335,            0.080919,           0.0097624,           0.0097624,           0.0097624
                  14,            0.055333,           0.0095027,            0.080537,             0.77463,                0.14,               0.218,            0.094687,            0.054613,           0.0063059,            0.081123,           0.0097426,           0.0097426,           0.0097426
                  15,            0.054451,            0.009611,            0.079721,             0.81479,             0.11309,             0.16448,            0.067979,            0.052476,           0.0061432,            0.081477,           0.0097228,           0.0097228,           0.0097228
                  16,             0.05433,           0.0099104,            0.079073,             0.72138,             0.16448,             0.14977,            0.055503,            0.055465,           0.0062185,            0.081594,            0.009703,            0.009703,            0.009703
                  17,            0.055296,           0.0094604,            0.077184,             0.76586,             0.15898,             0.18812,            0.080253,            0.049841,           0.0060109,            0.079028,           0.0096832,           0.0096832,           0.0096832
                  18,            0.054084,           0.0097057,            0.076108,             0.76147,             0.17831,              0.1533,             0.07043,             0.05431,           0.0058242,            0.077302,           0.0096634,           0.0096634,           0.0096634
                  19,            0.055225,           0.0094961,            0.075409,             0.88961,            0.061823,            0.091435,            0.036633,            0.085209,            0.010084,            0.091367,           0.0096436,           0.0096436,           0.0096436
                  20,            0.054791,           0.0093383,            0.074372,             0.79625,             0.17286,             0.15779,            0.066496,             0.05126,           0.0058012,            0.081539,           0.0096238,           0.0096238,           0.0096238
                  21,            0.055287,           0.0095025,            0.074722,             0.71907,             0.22104,             0.19799,            0.076296,            0.051542,           0.0059546,             0.08108,            0.009604,            0.009604,            0.009604
                  22,             0.05506,           0.0095843,            0.073634,             0.69505,              0.1949,             0.22685,            0.089923,            0.053935,           0.0060952,            0.074113,           0.0095842,           0.0095842,           0.0095842
                  23,            0.055616,           0.0092789,            0.073287,            0.014966,             0.10423,            0.042049,            0.022322,             0.09147,            0.010934,            0.098291,           0.0095644,           0.0095644,           0.0095644
                  24,            0.053815,           0.0098119,             0.07218,             0.73066,             0.20542,             0.21977,             0.10197,            0.052803,           0.0058702,             0.07136,           0.0095446,           0.0095446,           0.0095446
                  25,            0.053782,           0.0096494,            0.071101,             0.60768,             0.16375,             0.17045,            0.067748,            0.058714,           0.0059963,            0.076452,           0.0095248,           0.0095248,           0.0095248
                  26,            0.054896,           0.0090309,            0.071723,                0.69,             0.25409,             0.25767,             0.11352,            0.050667,           0.0062435,            0.068223,            0.009505,            0.009505,            0.009505
                  27,            0.055055,           0.0092023,            0.069996,              0.7116,             0.25622,             0.28104,             0.11988,            0.050689,           0.0059137,            0.067478,           0.0094852,           0.0094852,           0.0094852
                  28,            0.054892,           0.0090498,            0.068721,              0.6325,             0.21392,             0.23482,            0.099919,            0.050996,           0.0060656,            0.070275,           0.0094654,           0.0094654,           0.0094654
                  29,            0.054059,           0.0095349,             0.06887,             0.63239,             0.23875,             0.25162,            0.099332,            0.052002,           0.0060842,            0.068106,           0.0094456,           0.0094456,           0.0094456
                  30,            0.055515,            0.009674,            0.068389,             0.65169,             0.25532,             0.26077,             0.10377,            0.052766,           0.0061739,            0.069823,           0.0094258,           0.0094258,           0.0094258
                  31,            0.053658,             0.00961,            0.066977,             0.61995,             0.22257,             0.22307,             0.09531,            0.053633,           0.0060658,            0.071157,            0.009406,            0.009406,            0.009406
                  32,            0.053836,           0.0096672,             0.06739,              0.6286,             0.24997,             0.31621,             0.12167,             0.05142,           0.0059408,            0.069351,           0.0093862,           0.0093862,           0.0093862
                  33,            0.054912,           0.0092758,             0.06622,               0.646,             0.30101,             0.30404,             0.12548,            0.050096,            0.006002,            0.065127,           0.0093664,           0.0093664,           0.0093664
                  34,            0.055308,           0.0095607,            0.065563,             0.61581,             0.26448,              0.2839,             0.11216,            0.051037,           0.0060545,            0.067357,           0.0093466,           0.0093466,           0.0093466
                  35,            0.055056,           0.0095773,             0.06531,             0.62757,             0.26713,             0.30209,             0.12578,            0.051503,           0.0059651,            0.064092,           0.0093268,           0.0093268,           0.0093268
                  36,            0.054286,           0.0094488,             0.06453,              0.6046,             0.17601,             0.18212,            0.074141,            0.054137,           0.0062604,            0.079419,            0.009307,            0.009307,            0.009307
                  37,            0.053855,           0.0096728,             0.06314,             0.65191,            0.066548,             0.11541,            0.051596,             0.05564,           0.0079131,              0.0911,           0.0092872,           0.0092872,           0.0092872
                  38,            0.054586,           0.0094678,            0.063236,             0.76317,             0.22473,             0.28281,             0.12125,            0.053593,           0.0059181,             0.06189,           0.0092674,           0.0092674,           0.0092674
                  39,             0.05395,           0.0095534,            0.061994,             0.53689,             0.30742,             0.26701,             0.10325,            0.051703,           0.0060891,            0.065378,           0.0092476,           0.0092476,           0.0092476
                  40,            0.054636,           0.0092174,            0.061498,             0.61861,             0.28226,             0.32307,             0.12378,             0.05143,           0.0061716,            0.064076,           0.0092278,           0.0092278,           0.0092278
                  41,            0.054597,           0.0090655,            0.061563,             0.78016,             0.23501,              0.3952,             0.16672,            0.050156,           0.0059746,            0.060621,            0.009208,            0.009208,            0.009208
                  42,            0.055227,           0.0094681,            0.061402,             0.46233,             0.40886,             0.39213,              0.1456,            0.049926,           0.0058685,            0.058427,           0.0091882,           0.0091882,           0.0091882
                  43,            0.053649,            0.009128,            0.059434,             0.55468,              0.1449,             0.19042,            0.078708,            0.051337,           0.0073149,            0.076209,           0.0091684,           0.0091684,           0.0091684
                  44,            0.054901,           0.0097983,            0.061161,              0.4505,             0.23274,             0.18702,            0.074632,            0.052964,           0.0059234,            0.076738,           0.0091486,           0.0091486,           0.0091486
                  45,            0.054904,           0.0095956,            0.058932,             0.44036,              0.3865,             0.31621,             0.12885,            0.051303,           0.0062078,            0.059107,           0.0091288,           0.0091288,           0.0091288
                  46,              0.0545,           0.0092267,            0.059557,             0.29106,             0.10917,            0.069029,            0.032871,            0.078772,            0.013314,             0.09272,            0.009109,            0.009109,            0.009109
                  47,            0.054291,           0.0095848,            0.058174,             0.96653,              0.0125,            0.026809,            0.006814,            0.079188,            0.017704,            0.097544,           0.0090892,           0.0090892,           0.0090892
                  48,            0.053689,           0.0092897,            0.059198,            0.015707,              0.1769,            0.068366,            0.023921,            0.079949,            0.015829,            0.090751,           0.0090694,           0.0090694,           0.0090694
                  49,            0.054647,            0.009444,            0.057921,             0.70472,             0.10295,             0.15459,            0.051945,            0.069351,            0.010498,            0.087059,           0.0090496,           0.0090496,           0.0090496
                  50,            0.055131,           0.0092561,            0.057716,              0.5258,             0.28621,             0.28894,             0.11736,            0.054987,           0.0063467,            0.061472,           0.0090298,           0.0090298,           0.0090298
                  51,            0.053731,           0.0093695,            0.057888,             0.46462,             0.40936,             0.37599,             0.13632,            0.054682,           0.0058177,            0.055188,             0.00901,             0.00901,             0.00901
                  52,            0.054473,           0.0097263,            0.056476,              0.5529,             0.51575,             0.40651,             0.16532,            0.051156,           0.0058942,            0.052631,           0.0089902,           0.0089902,           0.0089902
                  53,            0.055043,           0.0094009,            0.055988,             0.55544,             0.13703,              0.1926,            0.071009,            0.061289,           0.0088043,            0.071117,           0.0089704,           0.0089704,           0.0089704
                  54,            0.053508,           0.0094846,            0.055087,             0.53819,             0.37563,             0.39096,             0.14537,            0.051413,           0.0059756,            0.052945,           0.0089506,           0.0089506,           0.0089506
                  55,             0.05387,           0.0095712,            0.054697,             0.43976,             0.34702,              0.2967,             0.11564,            0.054182,           0.0058858,            0.063762,           0.0089308,           0.0089308,           0.0089308
                  56,            0.054043,           0.0093252,             0.05236,             0.51325,             0.39677,             0.34089,             0.12778,            0.051504,           0.0059392,            0.058993,            0.008911,            0.008911,            0.008911
                  57,            0.054041,            0.009586,            0.054789,             0.50434,             0.31508,             0.28992,             0.10583,            0.056171,           0.0058604,            0.061015,           0.0088912,           0.0088912,           0.0088912
                  58,            0.053482,           0.0092137,            0.053589,             0.46427,              0.4122,             0.39489,             0.14721,            0.052507,           0.0057902,             0.05392,           0.0088714,           0.0088714,           0.0088714
                  59,             0.05433,           0.0091468,            0.052758,               0.453,             0.45732,             0.38933,             0.14261,            0.052695,           0.0060026,            0.055783,           0.0088516,           0.0088516,           0.0088516
                  60,            0.054168,           0.0093484,            0.052083,             0.41635,              0.4475,             0.42536,             0.16103,            0.050887,           0.0060866,            0.049549,           0.0088318,           0.0088318,           0.0088318
                  61,            0.054753,           0.0093217,            0.052845,             0.41824,             0.41438,             0.37968,             0.15303,            0.052688,           0.0060131,             0.05181,            0.008812,            0.008812,            0.008812
                  62,            0.053697,           0.0093217,            0.051423,             0.54893,              0.4167,             0.40137,             0.16747,            0.052124,           0.0059558,            0.057496,           0.0087922,           0.0087922,           0.0087922
                  63,            0.054224,           0.0093669,            0.050686,             0.45301,             0.40254,              0.4007,             0.13663,            0.055259,           0.0059943,            0.048572,           0.0087724,           0.0087724,           0.0087724
                  64,            0.054176,            0.009438,            0.050287,             0.56929,              0.4121,             0.44178,              0.1791,             0.05021,           0.0059111,            0.048451,           0.0087526,           0.0087526,           0.0087526
                  65,            0.054703,           0.0091266,            0.048915,             0.46995,             0.46478,             0.45418,             0.17136,            0.051744,           0.0059255,            0.048529,           0.0087328,           0.0087328,           0.0087328
                  66,            0.053195,            0.009381,            0.049867,             0.60502,             0.44676,             0.45777,             0.17851,            0.051918,            0.006832,             0.04654,            0.008713,            0.008713,            0.008713
                  67,            0.054374,           0.0093264,            0.048408,             0.61209,             0.45967,             0.51326,               0.182,            0.053952,           0.0059733,             0.04706,           0.0086932,           0.0086932,           0.0086932
                  68,            0.053454,           0.0093862,            0.047517,             0.59635,             0.46934,             0.49325,              0.2045,            0.051857,           0.0058364,             0.04624,           0.0086734,           0.0086734,           0.0086734
                  69,            0.054062,           0.0090639,            0.047221,             0.54885,             0.24176,             0.29814,             0.10568,            0.053667,           0.0059924,            0.069048,           0.0086536,           0.0086536,           0.0086536
                  70,            0.052956,           0.0094178,            0.048504,             0.50396,              0.1143,             0.11597,            0.050331,            0.060533,            0.008366,            0.083775,           0.0086338,           0.0086338,           0.0086338
                  71,            0.054151,           0.0092534,            0.047481,             0.40378,             0.21259,             0.21255,            0.070459,            0.055108,           0.0065324,            0.077884,            0.008614,            0.008614,            0.008614
                  72,             0.05384,           0.0094379,            0.048669,             0.63191,             0.41586,             0.55446,             0.20055,            0.049813,           0.0059031,            0.045726,           0.0085942,           0.0085942,           0.0085942
                  73,            0.052978,           0.0093957,            0.045989,             0.51812,             0.48735,             0.53106,             0.19917,             0.05166,           0.0059346,            0.044846,           0.0085744,           0.0085744,           0.0085744
                  74,             0.05419,           0.0090152,            0.044812,             0.48312,             0.51846,             0.46259,             0.17473,            0.049946,           0.0058515,             0.04711,           0.0085546,           0.0085546,           0.0085546
                  75,            0.053905,           0.0092336,             0.04593,             0.44269,             0.45324,             0.39315,             0.14461,             0.05245,           0.0062627,            0.049614,           0.0085348,           0.0085348,           0.0085348
                  76,            0.053019,           0.0090123,            0.045461,              0.4562,             0.51653,             0.49661,             0.20034,            0.050937,           0.0059373,            0.044622,            0.008515,            0.008515,            0.008515
                  77,            0.055303,           0.0094592,            0.046853,             0.33286,             0.39112,             0.34388,             0.12982,            0.054211,           0.0059481,            0.055895,           0.0084952,           0.0084952,           0.0084952
                  78,             0.05475,           0.0088699,            0.047093,             0.56181,            0.079808,             0.11757,             0.04621,            0.058119,            0.008705,            0.091591,           0.0084754,           0.0084754,           0.0084754
                  79,            0.052871,           0.0092629,            0.044231,              0.5677,             0.17309,             0.16622,            0.060985,             0.05458,           0.0076342,            0.095979,           0.0084556,           0.0084556,           0.0084556
                  80,            0.053805,           0.0092421,            0.044616,             0.39503,             0.55071,             0.46798,             0.17091,            0.049929,           0.0059895,            0.043756,           0.0084358,           0.0084358,           0.0084358
                  81,             0.05303,            0.009437,            0.046028,             0.69657,             0.45111,             0.55356,             0.23241,             0.04926,           0.0058828,            0.041358,            0.008416,            0.008416,            0.008416
                  82,            0.053397,           0.0090991,             0.04478,             0.62423,              0.3148,             0.38135,             0.13548,            0.054759,           0.0062552,            0.070158,           0.0083962,           0.0083962,           0.0083962
                  83,            0.053954,           0.0090085,            0.045043,            0.035752,            0.073214,            0.050273,            0.018092,            0.096732,            0.014104,             0.11294,           0.0083764,           0.0083764,           0.0083764
                  84,            0.054407,           0.0090251,            0.045372,            0.016067,             0.15893,            0.039957,            0.015487,            0.082373,            0.013573,            0.090852,           0.0083566,           0.0083566,           0.0083566
                  85,            0.054155,           0.0090247,             0.04594,             0.48379,           0.0058598,            0.026984,            0.012349,            0.092679,            0.015347,             0.10693,           0.0083368,           0.0083368,           0.0083368
                  86,            0.053215,           0.0093017,            0.042749,                   0,                   0,                   0,                   0,            0.092412,            0.050433,             0.15048,            0.008317,            0.008317,            0.008317
                  87,            0.053418,           0.0092607,            0.044575,                   0,                   0,                   0,                   0,            0.096405,             0.04391,             0.13927,           0.0082972,           0.0082972,           0.0082972
                  88,            0.052721,           0.0094494,            0.041246,               0.025,           0.0083333,            0.016666,            0.011666,            0.094294,            0.032663,             0.11775,           0.0082774,           0.0082774,           0.0082774
                  89,            0.053336,           0.0091706,            0.041442,             0.52969,             0.17046,             0.17472,            0.063842,            0.061514,           0.0090429,            0.081073,           0.0082576,           0.0082576,           0.0082576
                  90,            0.053024,           0.0092043,            0.042756,             0.68288,            0.095423,             0.11956,            0.042287,            0.075219,            0.012257,            0.083589,           0.0082378,           0.0082378,           0.0082378
                  91,            0.054122,           0.0093303,            0.042943,             0.59398,             0.52794,             0.52017,             0.23017,            0.051856,            0.005864,            0.040223,            0.008218,            0.008218,            0.008218
                  92,             0.05282,           0.0092331,            0.042347,             0.42295,             0.58741,             0.50694,             0.19359,             0.05347,           0.0060086,            0.040864,           0.0081982,           0.0081982,           0.0081982
                  93,            0.053154,           0.0095399,             0.04265,             0.44641,             0.51391,             0.55619,             0.21807,            0.052422,           0.0058863,            0.039133,           0.0081784,           0.0081784,           0.0081784
                  94,             0.05136,           0.0093407,             0.04179,             0.41655,             0.58067,             0.58658,             0.23851,            0.050758,           0.0058767,            0.042085,           0.0081586,           0.0081586,           0.0081586
                  95,            0.053112,           0.0088294,            0.040843,             0.36165,             0.32798,             0.25736,            0.096254,            0.054861,           0.0060414,            0.071975,           0.0081388,           0.0081388,           0.0081388
                  96,            0.052938,           0.0092593,            0.041348,            0.027314,             0.31268,            0.081982,            0.032243,            0.075692,            0.013191,             0.08782,            0.008119,            0.008119,            0.008119
                  97,            0.052987,           0.0091298,            0.042354,             0.50874,             0.30919,             0.27894,             0.10387,            0.051711,           0.0059832,            0.079822,           0.0080992,           0.0080992,           0.0080992
                  98,            0.052606,           0.0091707,            0.040547,             0.45481,             0.54506,             0.49913,             0.20264,            0.052456,           0.0059324,            0.044298,           0.0080794,           0.0080794,           0.0080794
